,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,contact_number,cluster
0,Surat Car Garage 79,19947 Cody Vista,Surat,Gujarat,395005,21.230841,72.783172,4.9,500,1,8750570693,3
1,Jai Hind Auto Repairs 58,USCGC Smith,Surat,Gujarat,395003,21.167915,72.892307,4.0,500,0,8246064267,4
2,Jai Hind Auto Repairs 43,258 Mullen Fort,Surat,Gujarat,395002,21.208274,72.771214,3.0,500,1,8314300370,3
3,Perfect Wheels Garage 55,34808 Deleon Junctions,Surat,Gujarat,395003,21.232975,72.787931,2.9,500,1,7239040114,3
4,Gujarat Car Care 53,78192 Courtney Loop,Surat,Gujarat,395008,21.158391,72.84537,2.6,500,0,9246545961,4
5,Surat Car Garage 12,5051 Clark Trail,Surat,Gujarat,395003,21.222955,72.777849,3.8,499,0,7172645882,3
6,Surat Car Garage 37,28140 Williamson Forges Suite 515,Surat,Gujarat,395001,21.188657,72.774436,3.7,499,0,7670488648,5
7,Shree Ganesh Auto Care 64,053 Emily Brooks Apt. 193,Surat,Gujarat,395001,21.17703,72.838236,2.9,499,0,7870568145,0
8,Jai Hind Auto Repairs 3,"PSC 5562, Box 3887",Surat,Gujarat,395009,21.208412,72.864353,2.5,499,1,9540490395,2
9,Surat Car Garage 22,"PSC 6255, Box 7701",Surat,Gujarat,395008,21.196606,72.810977,3.6,498,0,7864112031,0
10,Surat Car Garage 13,6474 Kimberly Coves Apt. 209,Surat,Gujarat,395003,21.225245,72.838436,3.2,498,1,7482622094,1
11,Sai Baba Car Clinic 62,0551 Silva Underpass Apt. 974,Surat,Gujarat,395005,21.224656,72.800807,2.3,498,0,9933372532,1
12,Perfect Wheels Garage 43,49135 Hayes Ridges,Surat,Gujarat,395005,21.245702,72.7523,4.8,497,0,7273799132,3
13,Shree Ganesh Auto Care 13,"PSC 3087, Box 6123",Surat,Gujarat,395004,21.202233,72.751089,3.8,497,1,8399661164,3
14,Jai Hind Auto Repairs 10,3592 Hensley Island Suite 625,Surat,Gujarat,395008,21.244524,72.898148,2.9,497,1,9281692862,2
15,Gujarat Car Care 35,315 Thompson Views Apt. 940,Surat,Gujarat,395009,21.248549,72.851895,2.3,497,1,9771251948,1
16,Mahalaxmi Auto Service 8,78870 Sandoval Vista,Surat,Gujarat,395009,21.187347,72.834857,5.0,496,1,8760111450,0
17,Perfect Wheels Garage 92,5837 Gross Ports Suite 975,Surat,Gujarat,395005,21.239845,72.806917,4.6,496,0,7959448939,1
18,Krishna Auto Works 45,48967 Angela Dam,Surat,Gujarat,395006,21.23059,72.884367,4.3,496,0,7573701661,2
19,Speedy Motors 30,651 Colleen Street,Surat,Gujarat,395006,21.183993,72.852478,2.9,496,0,7285224403,4
20,Shree Ganesh Auto Care 94,USS Russell,Surat,Gujarat,395002,21.218407,72.769944,2.7,496,0,9734664831,3
21,Krishna Auto Works 35,339 White Rue Suite 536,Surat,Gujarat,395004,21.216228,72.798246,2.6,496,1,7612834793,3
22,Surat Car Garage 86,5855 Mueller Ramp,Surat,Gujarat,395009,21.156546,72.786933,2.4,496,1,9190738286,5
23,Shree Ganesh Auto Care 16,36875 Brenda Throughway Suite 322,Surat,Gujarat,395007,21.243213,72.774354,4.3,495,1,7766903775,3
24,Jai Hind Auto Repairs 99,0493 Madison Trail Suite 432,Surat,Gujarat,395002,21.237073,72.854888,4.2,495,1,9833941373,2
25,Royal Auto Solutions 58,0375 Wagner Corner Suite 565,Surat,Gujarat,395004,21.24045,72.842055,3.9,495,0,8225733117,1
26,Royal Auto Solutions 1,987 Martinez Plaza,Surat,Gujarat,395004,21.249391,72.752573,3.7,495,0,9590965061,3
27,Perfect Wheels Garage 65,84033 Brenda Prairie,Surat,Gujarat,395008,21.186646,72.838407,3.3,495,0,9650590682,0
28,Speedy Motors 28,1186 Amanda Isle,Surat,Gujarat,395006,21.170976,72.778674,4.0,494,0,7839409405,5
29,Jai Hind Auto Repairs 46,886 Michele Park Suite 472,Surat,Gujarat,395003,21.155289,72.804175,3.9,494,1,7282061084,0
30,Gujarat Car Care 46,4709 Brandon Lane,Surat,Gujarat,395003,21.227894,72.767982,2.2,494,1,7591142664,3
31,Gujarat Car Care 87,22356 Thomas Wall Apt. 175,Surat,Gujarat,395009,21.187969,72.897024,4.5,493,0,7188179144,4
32,Shree Ganesh Auto Care 27,7727 Walker Heights Apt. 642,Surat,Gujarat,395003,21.18885,72.810359,3.9,493,0,9165616531,0
33,Gujarat Car Care 50,7967 Stephanie Grove,Surat,Gujarat,395005,21.18944,72.756284,2.9,493,0,7974395329,5
34,Surat Car Garage 38,018 Suzanne Harbor Apt. 397,Surat,Gujarat,395002,21.175069,72.779613,3.7,492,1,8887914009,5
35,Mahalaxmi Auto Service 38,09755 Richard Mount,Surat,Gujarat,395003,21.203526,72.804927,3.2,492,0,9741431878,0
36,Speedy Motors 60,3428 Nicholas Glens,Surat,Gujarat,395004,21.163187,72.752278,4.4,491,1,9361470099,5
37,Perfect Wheels Garage 84,317 Banks Crescent Apt. 004,Surat,Gujarat,395002,21.228123,72.847763,4.3,491,0,7599187315,1
38,Surat Car Garage 83,7859 Carr Radial,Surat,Gujarat,395007,21.200849,72.752735,2.9,491,0,9260810506,5
39,Krishna Auto Works 63,87233 Nathan Camp,Surat,Gujarat,395008,21.156824,72.832264,2.7,491,1,7957326588,0
40,Sai Baba Car Clinic 94,24471 Livingston Harbor,Surat,Gujarat,395005,21.162735,72.859325,4.8,490,1,9300078778,4
41,Mahalaxmi Auto Service 99,6504 Martinez Plaza,Surat,Gujarat,395002,21.19227,72.838069,4.6,490,1,7299209011,0
42,Shree Ganesh Auto Care 38,343 Green Crescent,Surat,Gujarat,395004,21.156295,72.880769,2.7,490,1,8271500464,4
43,Shree Ganesh Auto Care 80,869 Nicole Shoal Apt. 796,Surat,Gujarat,395003,21.173854,72.821034,2.3,490,0,9222478978,0
44,Jai Hind Auto Repairs 85,36138 Lucas Cliffs,Surat,Gujarat,395009,21.172104,72.795075,2.2,490,0,8910254597,5
45,Mahalaxmi Auto Service 98,919 Tracy Points,Surat,Gujarat,395007,21.237031,72.762001,2.0,490,1,7524258931,3
46,Gujarat Car Care 80,Unit 6919 Box 4896,Surat,Gujarat,395009,21.249891,72.839935,4.2,489,0,7501616306,1
47,Mahalaxmi Auto Service 68,2022 Erin Forges,Surat,Gujarat,395001,21.230026,72.804398,2.7,489,0,7819895743,1
48,Royal Auto Solutions 4,6806 Foster Islands,Surat,Gujarat,395008,21.164558,72.751492,4.4,488,0,9440181779,5
49,Surat Car Garage 65,214 Mitchell Pike Suite 699,Surat,Gujarat,395005,21.186356,72.831664,3.3,488,0,9699072349,0
50,Gujarat Car Care 35,05265 Craig Overpass Apt. 188,Surat,Gujarat,395009,21.154065,72.760558,2.9,488,0,8563839585,5
51,Gujarat Car Care 61,73429 Ashley Square,Surat,Gujarat,395002,21.151771,72.805501,2.7,488,1,7204386888,0
52,Jai Hind Auto Repairs 100,3751 Graham Ridge,Surat,Gujarat,395002,21.156702,72.81789,2.4,488,1,8388789748,0
53,Royal Auto Solutions 50,27379 Singh River,Surat,Gujarat,395006,21.22573,72.893027,2.1,488,0,9473635423,2
54,Sai Baba Car Clinic 98,5883 Christina Mill Suite 113,Surat,Gujarat,395010,21.209365,72.863445,4.4,487,1,9670256242,2
55,Shree Ganesh Auto Care 39,635 Hunter Alley Apt. 534,Surat,Gujarat,395004,21.171482,72.797236,4.3,487,1,8532496515,0
56,Perfect Wheels Garage 92,2707 Roth Stravenue Suite 761,Surat,Gujarat,395008,21.193533,72.768393,3.9,487,1,9291014917,5
57,Krishna Auto Works 96,444 Larry Pass,Surat,Gujarat,395010,21.169629,72.782897,2.4,487,0,9837291014,5
58,Mahalaxmi Auto Service 72,46990 Jacob Trace,Surat,Gujarat,395006,21.217001,72.811621,4.6,486,1,8919466524,1
59,Perfect Wheels Garage 89,3626 Wells Drive Suite 461,Surat,Gujarat,395009,21.190925,72.845295,4.5,486,0,8736096584,4
60,Shree Ganesh Auto Care 45,42095 Samuel Motorway Suite 349,Surat,Gujarat,395008,21.235223,72.836002,3.6,486,1,9396117260,1
61,Krishna Auto Works 17,56775 Ford Mountain,Surat,Gujarat,395005,21.2223,72.808556,3.3,486,1,7903176250,1
62,Sai Baba Car Clinic 55,1622 Bennett Stravenue Suite 718,Surat,Gujarat,395010,21.221017,72.885313,2.9,486,1,9631277005,2
63,Gujarat Car Care 1,Unit 6324 Box 2415,Surat,Gujarat,395002,21.1519,72.782348,2.4,486,1,8271822656,5
64,Perfect Wheels Garage 18,241 Scott Harbor,Surat,Gujarat,395006,21.173863,72.767034,3.4,485,0,8527048767,5
65,Speedy Motors 60,2603 Penny Courts,Surat,Gujarat,395007,21.237994,72.842885,3.0,485,0,9248341135,1
66,Krishna Auto Works 85,75636 Margaret Avenue,Surat,Gujarat,395003,21.240198,72.830893,2.0,485,1,9528502750,1
67,Sai Baba Car Clinic 25,57202 Carlson Trail Suite 798,Surat,Gujarat,395002,21.153222,72.84903,3.8,484,0,7111909006,4
68,Shree Ganesh Auto Care 28,7908 Scott Forks Apt. 843,Surat,Gujarat,395009,21.195601,72.759068,3.9,483,1,8398836783,5
69,Jai Hind Auto Repairs 65,94534 Christina Well Apt. 814,Surat,Gujarat,395003,21.231436,72.816766,3.9,483,0,9657261645,1
70,Gujarat Car Care 71,262 Gilbert Plain Suite 769,Surat,Gujarat,395003,21.192979,72.756274,3.1,482,0,8645908988,5
71,Mahalaxmi Auto Service 18,05634 Dan Lake Suite 034,Surat,Gujarat,395007,21.249569,72.896367,2.4,482,0,9312921672,2
72,Surat Car Garage 1,82471 Andrew Plain,Surat,Gujarat,395001,21.211928,72.878575,4.8,481,0,7918276555,2
73,Surat Car Garage 34,3898 Sharp Mountain,Surat,Gujarat,395004,21.187084,72.841354,4.2,481,1,9698859075,0
74,Krishna Auto Works 81,799 Roger Road,Surat,Gujarat,395002,21.241085,72.760156,3.3,481,0,9927720530,3
75,Jai Hind Auto Repairs 13,367 Williamson Brook Apt. 779,Surat,Gujarat,395003,21.213491,72.878841,2.7,481,0,7129073229,2
76,Mahalaxmi Auto Service 88,610 Jennifer Port Suite 297,Surat,Gujarat,395010,21.154236,72.817298,2.5,481,0,7707968010,0
77,Mahalaxmi Auto Service 22,808 Huynh Cove Apt. 411,Surat,Gujarat,395005,21.202767,72.840989,4.9,480,0,7650585447,1
78,Speedy Motors 31,7476 Williams Prairie Apt. 418,Surat,Gujarat,395004,21.172044,72.840549,4.3,480,1,7210772377,0
79,Royal Auto Solutions 67,72884 Shane Meadow Suite 207,Surat,Gujarat,395010,21.175124,72.819432,4.8,479,0,9710348437,0
80,Surat Car Garage 38,0124 Diane Skyway,Surat,Gujarat,395009,21.201279,72.846548,4.4,479,0,7411011388,1
81,Gujarat Car Care 69,878 Patrick Prairie Suite 893,Surat,Gujarat,395002,21.168642,72.825098,3.4,479,0,7216055868,0
82,Jai Hind Auto Repairs 54,206 Jones Shore Suite 980,Surat,Gujarat,395009,21.169952,72.795749,2.9,479,1,9527244348,5
83,Perfect Wheels Garage 58,094 Harmon Mission,Surat,Gujarat,395007,21.172976,72.874173,5.0,478,0,8755276117,4
84,Krishna Auto Works 50,8507 Michael Glens Apt. 913,Surat,Gujarat,395006,21.247372,72.82443,3.5,478,1,8636770215,1
85,Perfect Wheels Garage 85,"PSC 9705, Box 2774",Surat,Gujarat,395003,21.197487,72.778234,3.2,478,1,7261931854,5
86,Speedy Motors 47,33973 Chavez Neck,Surat,Gujarat,395007,21.158645,72.78798,2.4,478,1,9949702831,5
87,Perfect Wheels Garage 89,063 Ortiz Coves,Surat,Gujarat,395010,21.19755,72.756984,2.2,478,1,7223411236,5
88,Jai Hind Auto Repairs 12,40369 Garrett Station Suite 666,Surat,Gujarat,395006,21.162253,72.891342,2.2,478,1,7127963292,4
89,Krishna Auto Works 38,1562 Hernandez Inlet Suite 704,Surat,Gujarat,395010,21.216689,72.869936,4.2,477,1,9264635216,2
90,Sai Baba Car Clinic 86,973 Delacruz Fort Apt. 182,Surat,Gujarat,395008,21.24515,72.85059,4.0,477,1,7936800896,1
91,Jai Hind Auto Repairs 33,0580 Michael Club Suite 181,Surat,Gujarat,395005,21.196696,72.890427,3.9,477,1,9945149658,4
92,Surat Car Garage 71,1641 Johnson Junctions,Surat,Gujarat,395007,21.207291,72.801708,3.9,477,0,9907331988,1
93,Royal Auto Solutions 78,283 Steven Groves,Surat,Gujarat,395005,21.230713,72.85946,3.6,477,1,7528926338,2
94,Sai Baba Car Clinic 34,24815 Green Way,Surat,Gujarat,395004,21.150223,72.844676,3.2,477,1,7937717236,4
95,Royal Auto Solutions 55,4089 Connie Meadow Suite 056,Surat,Gujarat,395006,21.216511,72.806145,2.5,477,1,7549380325,1
96,Speedy Motors 89,17221 Townsend Spurs,Surat,Gujarat,395006,21.181795,72.814431,3.9,476,0,8244044740,0
97,Jai Hind Auto Repairs 14,Unit 6094 Box 4128,Surat,Gujarat,395008,21.237611,72.886581,3.5,476,0,9954444317,2
98,Shree Ganesh Auto Care 30,11232 Mitchell Plain,Surat,Gujarat,395007,21.188538,72.802996,2.9,476,1,7673826353,0
99,Krishna Auto Works 80,9061 Janet Trail,Surat,Gujarat,395005,21.215306,72.775107,2.2,476,1,7665252659,3
